"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Change in Non-Cash Working Capital","Correlation with the Market","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Enterprise Value","EV to Trailing Sales Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Free Cash Flow to Firm","Firm Value","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Revenues","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta"
"1",2011-12-31,0,1.68,0.3316,NA,NA,NA,0,0,NA,NA,NA,0.8,0,NA,0,NA,NA,NA,0,0,0,NA,NA,NA,0,0.09,174,NA,NA,0.1387,0.01,0.8843,NA,0,NA,NA,0,NA,0,NA,NA,NA,0,NA,0,15.66,0,1328686,789.6,-54.9,NA,789.6,2.05
"2",2008-12-31,0,2.93,0.8761,NA,NA,NA,0,0,NA,NA,NA,0.41091199634745,0,NA,0,NA,NA,NA,0,0,0,NA,NA,NA,0,NA,NA,NA,NA,0.77076411960133,0.0229,0.6167,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,9.26,0,5608211,857.6,-307.5,NA,857.6,2.25
"3",2007-12-31,0,2.49,0.5465,NA,0,0,0,0,NA,NA,NA,0.4391582799634,0,NA,0,0,0,0,0,0,0,NA,NA,NA,0,1.85,2.6378378378378,0.005,NA,NA,0.027,0.8839,0,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,4.88,0,4946730,947.7,159.4,0,947.7,1.5
"4",2006-12-31,0,1.74,0.2234,NA,0,0,0,0,NA,NA,NA,0.64458370635631,0,NA,0,0,0,0,0,0,0,NA,NA,NA,0,2.02,17.495049504951,0.005,NA,0.309377262853,0.027,0.8794,0,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,35.34,0,1957047,934.3,337.4,0,934.3,0.9
"5",2005-12-31,0,1.44,0.2041,NA,0,0,0,0,NA,NA,NA,0.66634002939735,0,NA,0,0,0,0,0,0,0,NA,0.0709,NA,0,3.41,18.460410557185,NA,NA,0.17763975155279,NA,0.8359,0,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,62.95,0,532700,806.7,216.5,0,806.7,0.85
"6",2004-12-31,0,0.4,0.2012,NA,NA,0,0,0,NA,0,0,0.39761431411531,0,0,0,NA,NA,NA,0,0,NA,NA,0.0683,NA,0,NA,NA,NA,0,0.12184064377196,NA,0.7779,0,0,NA,NA,0,NA,0,NA,NA,NA,0,NA,0,47,0,509600,691,169.2,0,691,0.75
"7",2003-12-31,0,0.22,0.1805,NA,NA,0,0,0,NA,0,0,0.24376731301939,0,0,0,NA,NA,NA,0,0,0,NA,0.0829,NA,0,2.96,14.641891891892,NA,0,0.18313221058215,NA,0.7608,0,0,NA,NA,0,NA,0,NA,NA,NA,0,NA,0,43.34,0,176900,568.3,171.9,0,568.3,0.75
"8",2002-12-31,0,0.09,0.158,NA,NA,0,0,0,NA,NA,0,0.1267,0,NA,0,0,0,0,0,0,NA,NA,0.0709,0,0,NA,NA,NA,0,0.22471496873851,NA,0.6975,0,0,NA,NA,0,NA,0,NA,NA,NA,0,0,0,33.3,0,268959,413.8,145.9,0,413.8,0.75
"9",2001-12-31,NA,0.28,0.2366,0,NA,0,0,0,NA,NA,0,0.2049,0,0.0702,0,NA,NA,NA,0,0,NA,NA,0.0611,NA,0,2.5,8.604,NA,NA,0.15647921760391,0,0.6589,0,0,NA,NA,0,NA,0,NA,NA,NA,0,NA,0,21.51,0,131000,0,92.5,0,350,0.8
"10",2000-12-31,NA,0.7,0.2671,NA,NA,0,0,0,NA,NA,NA,0.6,0,NA,0,NA,NA,NA,0,0,NA,NA,0.0738,NA,0,NA,7.30859375,NA,NA,0.20167415904511,NA,0.4796,0,0,NA,NA,0,NA,0,NA,NA,NA,0,NA,NA,18.71,0,NA,NA,98.1,0,308,NA
"11",1999-12-31,NA,0.75,0.2475,NA,NA,0,0,0,0,NA,NA,0.45454545454545,0,0,0,0,0,0,0,740.9,NA,2.8419639432298,0.0828,0,740.9,NA,5.655601659751,NA,0,0.19266055045872,NA,0.5751,0,740.9,0,0,NA,0.31338703490602,NA,0,0,2.8419639432298,NA,NA,0,NA,NA,NA,NA,81.7,9.0685434516524,260.7,NA
