"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Change in Non-Cash Working Capital","Correlation with the Market","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Enterprise Value","EV to Trailing Sales Ratio","EV To Sales Ratio","Free Cash Flow to Firm","Firm Value","Forward Earnings Per Share","Forward PE Ratio","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Revenues","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta"
"1",2011-12-31,0,1.2,0.2204,NA,NA,NA,0,0,NA,NA,NA,0.8,0,NA,0,NA,NA,NA,0,0,0,NA,NA,0,0.35,76.49,NA,0.1515,0.02,0.8349,NA,0,NA,NA,0,NA,0,NA,0,NA,NA,0,NA,0,26.77,0,738248,12908.8,66.8,NA,12908.8,1.3
"2",2008-12-31,0,2.01,0.6675,NA,NA,NA,0,0,NA,NA,NA,0.31161048689139,0,NA,0,NA,NA,NA,0,0,0,NA,NA,0,0.7,28.271428571429,NA,0.48578811369509,0.035,0.6658,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,19.79,0,2166311,17642.5,72,NA,17642.5,1.3
"3",2007-12-31,0,1.62,0.3735,NA,0,0,0,0,NA,NA,NA,0.49263721552878,0,NA,0,0,0,0,0,0,0,NA,NA,0,1.41,14.673758865248,NA,NA,0.031,0.5784,0,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,20.69,0,1679639,17939.1,168,0,17939.1,1.15
"4",2006-12-31,0,1.45,0.1924,NA,0,0,0,0,NA,NA,NA,0.74844074844075,0,NA,0,0,0,0,0,0,0,NA,NA,0,1.85,15.72972972973,NA,0.23349056603774,0.03,0.6045,0,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,29.1,0,1639289,4392.7,NA,NA,4392.7,0.9
"5",2005-12-31,0,1.42,0.203,NA,0,0,0,0,NA,NA,NA,0.63054187192118,0,NA,0,0,0,0,0,0,0,NA,NA,0,1.73,26.653179190751,NA,0.13186164561445,0.03,0.5642,0,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,46.11,0,275600,13666,107,0,13666,0.8
"6",2004-12-31,52,0.43,0.1935,NA,NA,0,0,0,0,NA,0,0.44444444444444,0,0.046536224219989,91.52,NA,NA,NA,0,2007.8,NA,NA,NA,2007.8,1.51,25.046357615894,0,0.10669908157753,0.029,0.4729,0,2007.8,0,0,0,NA,0,NA,NA,NA,NA,0,NA,0,37.82,0,266400,NA,107,18.764485981308,0,0.7
"7",2003-12-31,52,0.27,0.1762,NA,NA,0,0,0,0,0,0,0.30646992054484,0,0.04188745899571,86.32,NA,NA,NA,0,2102.5,0.18088666729758,NA,NA,2102.5,1.32,30.022727272727,0,0.2094395280236,0.032,0.4387,0,2102.5,0,0,0,NA,0,NA,NA,NA,NA,0,NA,0,39.63,0,196200,11623.3,107,19.64953271028,11623.3,0.65
"8",2002-12-31,52,0.01,0.1116,NA,NA,0,0,0,0,NA,0,0.0256,0,0.051196740791037,120.64,0,0,0,0,2356.4,NA,NA,0,2356.4,2.05,22.243902439024,0,0.13063759789841,0.032,0.3741,0,2356.4,0,0,0,NA,0,NA,NA,NA,NA,0,0,0,45.6,0,109904,7223.1,107,22.022429906542,7223.1,0.6
"9",2001-12-31,NA,-0.01,0.1119,0,NA,0,0,0,NA,NA,0,-0.0125,0,0.0602,0,NA,NA,NA,0,0,NA,NA,NA,0,1.95,18.666666666667,NA,0.14469265586217,0.035,0.3634,0,0,NA,NA,0,NA,0,NA,NA,NA,NA,0,NA,0,36.4,0,84800,0,0,NA,8085.8,0.65
"10",2000-12-31,NA,0.6,0.1397,NA,NA,0,0,0,NA,NA,NA,0.6,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,0,NA,17.985185185185,NA,0.13272950911327,0.037,0.3608,0,0,NA,NA,0,NA,0,NA,NA,NA,NA,0,NA,NA,48.56,0,NA,NA,81.9,0,4521.4,NA
"11",1999-12-31,NA,0.65,0.1584,NA,NA,0,0,0,0,NA,NA,0.6155303030303,0,0,0,0,0,0,0,1203,NA,0.30997964389703,0,1203,NA,NA,0,0.13117906564609,0.047,0.3384,0,1203,0,0,NA,0.020381870184751,NA,0,NA,0,0.30997964389703,NA,NA,0,NA,NA,NA,NA,79.1,15.208596713021,3880.9,NA
