"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Change in Non-Cash Working Capital","Correlation with the Market","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Enterprise Value","EV to Trailing Sales Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Free Cash Flow to Firm","Firm Value","Forward Earnings Per Share","Forward PE Ratio","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Revenues","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta"
"1",2011-12-31,0,1.05,0.2659,NA,NA,NA,0,0,NA,NA,NA,0.8,0,NA,0,NA,NA,NA,0,0,0,NA,NA,NA,0,NA,NA,NA,0.121,0.049,NA,NA,0,NA,NA,0,NA,0,NA,NA,NA,0,NA,0,27.06,0,1089073,1080.3,-77.1,NA,1080.3,1.45
"2",2008-12-31,0,2.47,0.624,NA,NA,NA,0,0,NA,NA,NA,0.3974358974359,0,NA,0,NA,NA,NA,0,0,0,NA,NA,NA,0,NA,NA,NA,0.57802400738689,0.0819,0.918,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,15.92,0,3645244,1363.1,NA,NA,1363.1,1.55
"3",2007-12-31,0,2.11,0.4373,NA,0,0,0,0,NA,NA,NA,0.5488223187743,0,NA,0,0,0,0,0,0,0,NA,NA,NA,0,-0.9,NA,NA,NA,0.09,0.9546,0,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,11.55,0,2805752,1707.4,-6.8,NA,1707.4,1.5
"4",2006-12-31,0,1.75,0.2363,NA,0,0,0,0,NA,NA,NA,0.60939483707152,0,NA,0,0,0,0,0,0,0,NA,NA,NA,0,0.19,170.57894736842,NA,0.31724897387126,0.11,NA,0,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,32.41,0,1645392,1738.9,-36,NA,1738.9,0.9
"5",2005-12-31,0,1.11,0.1991,NA,0,0,0,0,NA,NA,NA,0.6830738322451,0,NA,0,0,0,0,0,0,0,NA,NA,NA,0,0,8073332836009499648,NA,0.2208810481791,0.1,0.9423,0,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,56.02,0,537600,1701.7,NA,NA,1701.7,0.85
"6",2004-12-31,93.8,0.49,0.2384,NA,NA,0,0,0,0,0,0,0.41107382550336,0,0.063458487572713,225.12,NA,NA,NA,0,3606.4,2.3678025080428,NA,NA,NA,3606.4,-0.15,NA,0,0.12731451921849,0.1,0.9061,0,3606.4,0,0,0,NA,0,NA,NA,NA,0,NA,0,37.82,0,571800,1523.1,104.5,34.511004784689,1523.1,0.7
"7",2003-12-31,93.8,0.35,0.2252,NA,NA,0,0,0,0,0,0,0.31083481349911,0,0.062745098039216,225.12,NA,NA,NA,0,3610.1,2.4876653803749,NA,NA,NA,3610.1,0.3,127.5,0,0.18640418332821,0.11,0.9071,0,3610.1,0,0,0,NA,0,NA,NA,NA,0,NA,0,38.25,0,198300,1451.2,104.5,34.546411483254,1451.2,0.65
"8",2002-12-31,93.8,0,0,NA,NA,0,0,0,0,NA,0,0,0,0.069087003222342,225.12,0,0,0,0,3258.5,NA,NA,NA,0,3258.5,0.46,75.391304347826,0,0.12058627581612,1,0.8453,0,3258.5,0,0,0,NA,0,NA,NA,NA,0,0,0,34.68,0,524528,0,NA,NA,0,0.65
"9",2001-12-31,NA,NA,NA,0,NA,0,0,0,NA,NA,0,NA,0,0.086,0,NA,NA,NA,0,0,NA,NA,0.057,NA,0,NA,NA,NA,0.20571696344892,0,0.8723,0,0,NA,NA,0,NA,0,NA,NA,NA,0,NA,0,36.5,0,163200,0,179.1,0,1429.2,0.7
"10",2000-12-31,NA,0.65,NA,NA,NA,0,0,0,NA,NA,NA,NA,0,NA,0,NA,NA,NA,0,0,NA,NA,0.0838,NA,0,NA,8.3981651376147,NA,0.12045996353947,NA,0.8251,0,0,NA,NA,0,NA,0,NA,NA,NA,0,NA,NA,45.77,0,NA,NA,79.3,0,1378.8,NA
"11",1999-12-31,NA,0.7,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,3376.3,NA,3.4735596707819,0.1049,0,3376.3,NA,8.4270072992701,0,0.1597908327356,NA,0.8824,0,3376.3,0,0,NA,0.050411522633745,NA,0,0,3.4735596707819,NA,NA,0,NA,NA,NA,NA,49,68.904081632653,972,NA
