"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Change in Non-Cash Working Capital","Correlation with the Market","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Enterprise Value","EV to Trailing Sales Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Free Cash Flow to Firm","Firm Value","Forward Earnings Per Share","Forward PE Ratio","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Revenues","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta"
"1",2011-12-31,0,3.46,0.7782,NA,NA,NA,0,0,NA,NA,NA,0.8,0,NA,0,NA,NA,NA,0,0,0,NA,0.0785,NA,0,0.97,20.46,NA,0.1891,NA,0.9352,NA,0,NA,NA,0,NA,0,NA,NA,NA,0,NA,0,19.85,0,3314392,2589,-669.7,NA,2589,1.15
"2",2008-12-31,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,0,NA,NA,NA,0,0,0,NA,NA,NA,0,NA,NA,NA,0.9892062064313,NA,0.0158,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,1.05,0,8896314,3242.6,-25.4,NA,3242.6,2.8
"3",2007-12-31,0,3.57,0.6558,NA,0,0,0,0,NA,NA,NA,0.57334553217444,0,NA,0,0,0,0,0,0,0,NA,0.0711,NA,0,2.87,0.44947735191638,NA,0.9892062064313,NA,0.9198,0,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,1.29,0,6030051,3389.3,129.3,0,3389.3,2.35
"4",2006-12-31,0,1.72,0.2615,NA,0,0,0,0,NA,NA,NA,0.58126195028681,0,NA,0,0,0,0,0,0,0,NA,0.0994,NA,0,3.84,9.546875,NA,0.25474506885002,NA,0.8537,0,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,36.66,0,4555553,3305.1,330.9,0,3305.1,0.95
"5",2005-12-31,0,1.41,0.2498,NA,0,0,0,0,NA,NA,NA,0.51240992794235,0,NA,0,0,0,0,0,0,0,NA,0.1008,NA,0,3.09,16.902912621359,NA,0.14501325718948,NA,0.8316,0,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,52.23,0,1653800,3146.6,49,0,3146.6,0.8
"6",2004-12-31,0,0.21,0.2381,NA,NA,0,0,0,NA,0,0,0.17639647207056,0,0,0,NA,NA,NA,0,0,NA,NA,0.1137,NA,0,3.17,14.794952681388,0,0.2120527306968,NA,0.8493,0,0,NA,NA,0,NA,0,NA,NA,NA,0,NA,0,46.9,0,571900,2904.3,91,0,2904.3,0.7
"7",2003-12-31,0,0.11,0.201,NA,NA,0,0,0,NA,0,0,0.10945273631841,0,0,0,NA,NA,NA,0,0,0,NA,0.1011,NA,0,2.73,12.893772893773,0,0.19383186867849,NA,0.804,0,0,NA,NA,0,NA,0,NA,NA,NA,0,NA,0,35.2,0,655800,1501.4,0,NA,1501.4,0.65
"8",2002-12-31,0,0.33,0.1772,NA,NA,0,0,0,NA,NA,0,0.4135,0,NA,0,0,0,0,0,0,NA,NA,0.1163,0,0,2.29,11.938864628821,0,0.26422952336881,NA,0.8235,0,0,NA,NA,0,NA,0,NA,NA,NA,0,0,0,27.34,0,310506,1460.9,234.2,0,1460.9,0.6
"9",2001-12-31,NA,0.11,0.1941,0,NA,0,0,0,NA,NA,0,0.1001,0,0.0585,0,NA,NA,NA,0,0,NA,NA,0.1004,NA,0,5.55,8.8396396396396,NA,0.13921568627451,0,0.9353,0,0,NA,NA,0,NA,0,NA,NA,NA,0,NA,0,49.06,0,88900,0,0,NA,0,0.65
"10",2000-12-31,NA,0.65,0.2258,NA,NA,0,0,0,NA,NA,NA,0.6,0,NA,0,NA,NA,NA,0,0,NA,NA,0.1007,NA,0,NA,7.2830540037244,NA,0.10504774897681,NA,0.8693,0,0,NA,NA,0,NA,0,NA,NA,NA,0,NA,NA,39.11,0,NA,NA,163,0,1111.6,NA
"11",1999-12-31,NA,0.7,0.1899,NA,NA,0,0,0,0,NA,NA,0.55292259083728,0,0,0,0,0,0,0,1953.3,NA,1.8207494407159,0.1117,0,1953.3,NA,7.5751503006012,0,0.14094618641468,NA,0.8351,0,1953.3,0,0,NA,0.14075316927666,NA,0,0,1.8207494407159,NA,NA,0,NA,NA,NA,NA,151,12.935761589404,1072.8,NA
