"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Change in Non-Cash Working Capital","Correlation with the Market","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Enterprise Value","EV to Trailing Sales Ratio","EV To Sales Ratio","Free Cash Flow to Firm","Firm Value","Forward Earnings Per Share","Forward PE Ratio","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Revenues","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta"
"1",2011-12-31,0,0.66,0.1549,NA,NA,NA,0,0,NA,NA,NA,0.8,0,NA,0,NA,NA,NA,0,0,0,NA,NA,0,2.38,43.71,NA,0.109,0.013,0.9725,NA,0,NA,NA,0,NA,0,NA,0,NA,NA,0,NA,0,104.02,0,250438,13261.4,144.5,NA,13261.4,1.05
"2",2008-12-31,0,1.32,0.3533,NA,NA,NA,0,0,NA,NA,NA,0.5434474950467,0,NA,0,NA,NA,NA,0,0,0,NA,NA,0,1.88,36.021276595745,NA,0.32157295112091,0.013,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,67.72,0,1395985,11287.5,116.4,NA,11287.5,1.2
"3",2007-12-31,0,1.16,0.2865,NA,0,0,0,0,NA,NA,NA,0.67015706806283,0,NA,0,0,0,0,0,0,0,NA,NA,0,2.36,26.305084745763,NA,NA,0.015,NA,0,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,62.08,0,1171423,10854.5,110.8,0,10854.5,1.2
"4",2006-12-31,0,1.25,0.2076,NA,0,0,0,0,NA,NA,NA,0.73217726396917,0,NA,0,0,0,0,0,0,0,NA,NA,0,2.01,37.308457711443,NA,0.17030464359657,0.016,0.9545,0,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,74.99,0,1083055,10474.6,97.7,0,10474.6,0.95
"5",2005-12-31,0,1.03,0.2224,NA,0,0,0,0,NA,NA,NA,0.57553956834532,0,NA,0,0,0,0,0,0,0,NA,NA,0,1.6,53.125,NA,0.18763195532248,0.019,0.9066,0,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,85,0,300200,6598.7,69.3,0,6598.7,0.8
"6",2004-12-31,45,0.17,0.2072,NA,NA,0,0,0,0,0,0,0.16409266409266,0,0.036639709523024,99.9,NA,NA,NA,0,2776.5,0.32838945463577,NA,NA,2776.5,1.36,44.551470588235,0,0.17606136282554,0.021,0.8088,0,2776.5,0,0,0,NA,0,NA,NA,NA,NA,0,NA,0,60.59,0,284900,8454.9,69.3,40.064935064935,8454.9,0.75
"7",2003-12-31,45,0.05,0.1773,NA,NA,0,0,0,0,0,0,0.056401579244219,0,0.040070713022982,91.8,NA,NA,NA,0,2354.4,0.2907743608744,NA,NA,2354.4,1.27,40.086614173228,0,0.22223511662992,0.024,0.7511,0,2354.4,0,0,0,NA,0,NA,NA,NA,NA,0,NA,0,50.91,0,79900,8097,69.3,33.974025974026,8097,0.7
"8",2002-12-31,45,0.03,0.1004,NA,NA,0,0,0,0,NA,0,0.0745,0,0.05,88.2,0,0,0,0,1764,NA,NA,0,1764,1.26,31.150793650794,0,0.20185962807439,0.063,0.6964,0,1764,0,0,0,NA,0,NA,NA,NA,NA,0,0,0,39.25,0,132815,7633.7,NA,NA,7633.7,0.65
"9",2001-12-31,NA,-0.08,0.1249,0,NA,0,0,0,NA,NA,0,-0.1177,0,0.0725,0,NA,NA,NA,0,0,NA,NA,NA,0,1.23,22.089430894309,NA,0.13970443349754,0.193,0.6348,0,0,NA,NA,0,NA,0,NA,NA,NA,NA,0,NA,0,27.17,0,67600,0,56.8,0,6799.9,0.7
"10",2000-12-31,NA,0.65,0.1651,NA,NA,0,0,0,NA,NA,NA,0.6,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,0,NA,15.426666666667,NA,0.11623573258793,0.077,0.5362,0,0,NA,NA,0,NA,0,NA,NA,NA,NA,0,NA,NA,23.14,0,NA,NA,56.8,0,6263.8,NA
"11",1999-12-31,NA,0.7,0.1977,NA,NA,0,0,0,0,NA,NA,0.53110773899848,0,0,0,0,0,0,0,774.7,NA,0.17274673326495,0,774.7,NA,NA,0,0.11389561440731,0.077,0.6015,0,774.7,0,0,NA,0.012531775409178,NA,0,NA,0,0.17274673326495,NA,NA,0,NA,NA,NA,NA,56.2,13.784697508897,4484.6,NA
