"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Change in Non-Cash Working Capital","Correlation with the Market","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Enterprise Value","EV to Trailing Sales Ratio","Expected Growth in Earnings Per Share","Free Cash Flow to Firm","Firm Value","Forward Earnings Per Share","Forward PE Ratio","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Non-Cash Working Capital","Payout Ratio","Reinvestment Amount","Revenues","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta"
"1",2011-12-31,0,1.55,0.4182,NA,NA,NA,0,0,NA,NA,NA,0.8,0,NA,0,NA,NA,NA,0,0,0,0.0805,NA,0,0.59,18.8,NA,0.129,NA,0.8993,NA,0,NA,NA,0,0,0,0,NA,0,11.09,0,727956,306.2,55.1,NA,306.2,1.65
"2",2008-12-31,0,2.82,0.7793,NA,NA,NA,0,0,NA,NA,NA,0.34903118182985,0,NA,0,NA,NA,NA,0,0,0,NA,NA,0,1.55,1.741935483871,NA,0.65808823529412,NA,0.7096,NA,0,NA,NA,NA,0,NA,NA,NA,0,2.7,0,569842,310.5,-0.1,NA,310.5,1.7
"3",2007-12-31,0,2.24,0.4993,NA,0,0,0,0,NA,NA,NA,0.49669537352293,0,NA,0,0,0,0,0,0,0,NA,NA,0,1.99,1.4422110552764,NA,0.9047619047619,NA,0.754,0,0,NA,NA,0,0,NA,NA,NA,NA,2.87,0,90821,321.7,26.2,0,321.7,1.55
"4",2006-12-31,0,1.88,0.23,NA,0,0,0,0,NA,NA,NA,0.66086956521739,0,NA,0,0,0,0,0,0,0,0.035,NA,0,2.07,6.6231884057971,NA,0.36005497022446,NA,0.7984,0,0,NA,NA,0,0,NA,NA,NA,NA,13.71,0,315634,309.3,20.5,0,309.3,0.95
"5",2005-12-31,0,1.66,0.2614,NA,0,0,0,0,NA,NA,NA,0.55087987758225,0,NA,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,0.11536987351476,NA,0.7931,0,0,NA,NA,0,0,NA,NA,NA,NA,26.71,0,102400,331.9,39,0,331.9,0.9
"6",2004-12-31,0,-0.09,0.2581,NA,NA,0,0,0,NA,0,0,-0.06974041069353,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,NA,NA,0,0.16223506743738,NA,0.7324,0,0,NA,NA,0,0,NA,0,NA,0,24.39,0,285600,343.9,26.9,0,343.9,0.8
"7",2003-12-31,0,-0.06,0.2449,NA,NA,0,0,0,NA,0,0,-0.048999591670069,0,0,0,NA,NA,NA,0,0,0,0.0636,NA,0,2.27,12.105726872247,0,0.20100925147182,NA,0.6687,0,0,NA,NA,0,0,NA,0,NA,0,27.48,0,45000,351.8,27.9,0,351.8,0.8
"8",2002-12-31,0,0.04,0.2145,NA,NA,0,0,0,NA,NA,0,0.0369,0,NA,0,0,0,0,0,0,NA,0.0383,0,0,2.09,11.186602870813,0,0.16517857142857,NA,0.6087,0,0,NA,NA,0,0,NA,0,0,0,23.38,0,170308,305.1,NA,NA,305.1,0.75
"9",2001-12-31,NA,0.22,0.2415,0,NA,0,0,0,NA,NA,0,0.1565,0,0.1109,0,NA,NA,NA,0,0,NA,0.045,NA,0,NA,NA,NA,0.16933638443936,0,0.4843,0,0,NA,NA,0,0,NA,0,NA,0,17.22,0,107300,0,0,NA,0,0.75
"10",2000-12-31,NA,0.65,0.2431,NA,NA,0,0,0,NA,NA,NA,0.6,0,NA,0,NA,NA,NA,0,0,NA,0.0658,NA,0,NA,6.3344481605351,NA,0.2246835443038,NA,0.3779,0,0,NA,NA,0,0,NA,0,NA,NA,18.94,0,NA,NA,53.4,0,277.8,NA
"11",1999-12-31,NA,0.7,0.2165,NA,NA,0,0,0,0,NA,NA,0.48498845265589,0,0,0,0,0,0,0,308,NA,0.0718,0,308,NA,4.7459283387622,0,0.15368991198375,NA,0.3633,0,308,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,0,NA
