"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Change in Non-Cash Working Capital","Correlation with the Market","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Enterprise Value","EV to Trailing Sales Ratio","EV To Sales Ratio","Free Cash Flow to Firm","Firm Value","Forward Earnings Per Share","Forward PE Ratio","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Revenues","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta"
"1",2011-12-31,0,0.76,0.1692,NA,NA,NA,0,0,NA,NA,NA,0.8,0,NA,0,NA,NA,NA,0,0,0,NA,NA,0,0.55,47.55,NA,0.1285,0.01,0.7118,NA,0,NA,NA,0,NA,0,NA,0,NA,NA,0,NA,0,26.15,0,607140,7681.2,10.2,NA,7681.2,0.95
"2",2008-12-31,0,1.25,0.3485,NA,NA,NA,0,0,NA,NA,NA,0.45911047345768,0,NA,0,NA,NA,NA,0,0,0,NA,NA,0,0.39,70.641025641026,NA,0.34789391575663,0.013,0.702,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,27.55,0,1019247,7474,28.2,NA,7474,1
"3",2007-12-31,0,1,0.2541,NA,0,0,0,0,NA,NA,NA,0.59818968909878,0,NA,0,0,0,0,0,0,0,NA,NA,0,0.75,37.733333333333,NA,NA,0.018,0.6022,0,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,28.3,0,1152000,6693.3,17.3,0,6693.3,0.95
"4",2006-12-31,0,1.66,0.2047,NA,0,0,0,0,NA,NA,NA,0.74255007327797,0,NA,0,0,0,0,0,0,0,NA,NA,0,0.86,33.802325581395,NA,0.19872770017978,0.018,0.5872,0,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,29.07,0,568504,246.3,37.7,0,246.3,0.95
"5",2005-12-31,0,1.22,0.1929,NA,0,0,0,0,NA,NA,NA,0.74650077760498,0,NA,0,0,0,0,0,0,0,NA,NA,0,1.05,38.095238095238,NA,0.18204081632653,0.019,0.5179,0,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,40,0,291900,3475.3,NA,NA,3475.3,0.9
"6",2004-12-31,39.2,0.25,0.1715,NA,NA,0,0,0,0,NA,0,0.29154518950437,0,0.053030303030303,63.112,NA,NA,NA,0,1231.5,NA,NA,NA,1231.5,1.07,28.373831775701,0,0.1078811369509,0.026,0.4234,0,1231.5,0,0,0,NA,0,NA,NA,NA,NA,0,NA,0,30.36,0,272500,NA,0,NA,0,0.8
"7",2003-12-31,39.2,0.27,0.1781,NA,NA,0,0,0,0,0,0,0.30320044918585,0,0.047346200241255,61.544,NA,NA,NA,0,1313.4,0.38113755078352,NA,NA,1313.4,1.18,28.101694915254,0,0.15530239571117,0.027,0.3788,0,1313.4,0,0,0,NA,0,NA,NA,NA,NA,0,NA,0,33.16,0,63400,3446,48.3,27.192546583851,3446,0.7
"8",2002-12-31,39.2,0.06,0.1609,NA,NA,0,0,0,0,NA,0,0.0806,0,0.050549795242659,58.016,0,0,0,0,1147.7,NA,NA,0,1147.7,1.3,22.569230769231,0,0.13271772587362,0.025,0.3304,0,1147.7,0,0,0,NA,0,NA,NA,NA,NA,0,0,0,29.34,0,92419,2844.5,48.3,23.761904761905,2844.5,0.7
"9",2001-12-31,NA,-0.08,0.1802,0,NA,0,0,0,NA,NA,0,-0.0738,0,0.0563,0,NA,NA,NA,0,0,NA,NA,NA,0,1.28,19.1328125,NA,0.19240656515721,0.024,0.2977,0,0,NA,NA,0,NA,0,NA,NA,NA,NA,0,NA,0,24.49,0,34800,0,48.3,0,2570,0.65
"10",2000-12-31,NA,0.55,0.1748,NA,NA,0,0,0,NA,NA,NA,0.6,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,0,NA,17.792857142857,NA,0.84420162143109,0.019,0.2645,0,0,NA,NA,0,NA,0,NA,NA,NA,NA,0,NA,NA,24.91,0,NA,NA,47.4,0,2411.2,NA
"11",1999-12-31,NA,0.55,0.1703,NA,NA,0,0,0,0,NA,NA,0.48443922489724,0,0,0,0,0,0,0,855.4,NA,0.3693755937473,0,855.4,NA,NA,0,0.27184391931422,0.017,0.2039,0,855.4,0,0,NA,0.017531738492098,NA,0,NA,0,0.3693755937473,NA,NA,0,NA,NA,NA,NA,40.6,21.068965517241,2315.8,NA
