"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Change in Non-Cash Working Capital","Correlation with the Market","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Enterprise Value","EV to Trailing Sales Ratio","Expected Growth in Earnings Per Share","Free Cash Flow to Firm","Firm Value","Forward Earnings Per Share","Forward PE Ratio","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Non-Cash Working Capital","Payout Ratio","Reinvestment Amount","Revenues","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta"
"1",2011-12-31,0,0.33,0.1509,NA,NA,NA,0,0,NA,NA,NA,0.55,0,NA,0,NA,NA,NA,0,0,0,0.065,NA,0,NA,NA,NA,0.1488,NA,0.5285,NA,0,NA,NA,0,0,0,0,NA,0,11.47,0,885093,258.9,171.5,NA,258.9,0.75
"2",2008-12-31,0,0.6,0.3174,NA,NA,NA,0,0,NA,NA,NA,0.45368620037807,0,NA,0,NA,NA,NA,0,0,0,0.0033,NA,0,2.27,6.0132158590308,NA,0.26862666129682,NA,0.5979,NA,0,NA,NA,NA,0,NA,NA,NA,0,13.65,0,772495,339.8,151,NA,339.8,0.9
"3",2007-12-31,0,0.65,0.3587,NA,0,0,0,0,NA,NA,NA,0.40144967939783,0,NA,0,0,0,0,0,0,0,0.045,NA,0,2.08,5.1778846153846,NA,0.42463657230298,NA,0.6831,0,0,NA,NA,0,0,NA,NA,NA,NA,10.77,0,762393,391.5,117.4,0,391.5,0.9
"4",2006-12-31,0,1.37,0.3198,NA,0,0,0,0,NA,NA,NA,0.55034396497811,0,NA,0,0,0,0,0,0,0,0.055,NA,0,-0.04,NA,NA,0.2820750347383,NA,0.5072,0,0,NA,NA,0,0,NA,NA,NA,NA,13.21,0,922520,294.7,11.1,0,294.7,1.1
"5",2005-12-31,0,2.34,0.3679,NA,0,0,0,0,NA,NA,NA,0.4131557488448,0,NA,0,0,0,0,0,0,0,NA,NA,0,NA,NA,NA,0.21951219512195,NA,0.3153,0,0,NA,NA,0,0,NA,NA,NA,NA,8.3,0,111600,182.5,-2.6,NA,182.5,0.95
"6",2004-12-31,0,0.55,0.4453,NA,NA,0,0,0,NA,NA,0,0.24702447788008,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,NA,NA,0,0.33982947624848,NA,0.2109,0,0,NA,NA,0,0,NA,0,NA,0,5.83,0,314900,NA,31.3,0,0,0.8
"7",2003-12-31,0,0.03,0.4632,NA,NA,0,0,0,NA,0,0,0.012953367875648,0,0,0,NA,NA,NA,0,0,0,NA,NA,0,NA,NA,0,0.27054040318482,NA,0.2419,0,0,NA,NA,0,0,NA,0,NA,0,10.27,0,112500,119.4,52.2,0,119.4,0.8
"8",2002-12-31,0,0.07,0.4652,NA,NA,0,0,0,NA,NA,0,0.0322,0,NA,0,0,0,0,0,0,NA,NA,0,0,NA,NA,0,0.40326598394686,NA,0.2273,0,0,NA,NA,0,0,NA,0,0,0,17.61,0,199691,264.7,67.9,0,264.7,0.75
"9",2001-12-31,NA,-0.11,0.3645,0,NA,0,0,0,NA,NA,0,-0.0543,0,0.2168,0,NA,NA,NA,0,0,NA,NA,NA,0,NA,NA,NA,0.33558441558442,0,0.404,0,0,NA,NA,0,0,NA,0,NA,0,13.98,0,461600,0,104.6,0,472.7,0.8
"10",2000-12-31,NA,0.8,0.3703,NA,NA,0,0,0,NA,NA,NA,0.64812314339724,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,0,NA,NA,NA,0.31384226673886,NA,0.117,0,0,NA,NA,0,0,NA,0,NA,NA,23.39,0,NA,NA,88.8,0,NA,NA
"11",1999-12-31,NA,1,0.5675,NA,NA,0,0,0,0,NA,NA,0.26431718061674,0,0,0,0,0,0,0,268.3,NA,NA,0,268.3,NA,NA,0,0.33333333333333,NA,0.1072,0,268.3,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,43.7,6.1395881006865,0,NA
