"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Change in Non-Cash Working Capital","Correlation with the Market","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Enterprise Value","EV to Trailing Sales Ratio","Expected Growth in Earnings Per Share","Free Cash Flow to Firm","Firm Value","Forward Earnings Per Share","Forward PE Ratio","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Non-Cash Working Capital","Payout Ratio","Reinvestment Amount","Revenues","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta"
"1",2011-12-31,0,0.95,0.2346,NA,NA,NA,0,0,NA,NA,NA,0.8,0,NA,0,NA,NA,NA,0,0,0,0.125,NA,0,NA,NA,NA,0.2528,NA,0.8888,NA,0,NA,NA,0,0,0,0,NA,0,16.89,0,461748,214.9,48.7,NA,214.9,1.1
"2",2008-12-31,0,0.85,0.5472,NA,NA,NA,0,0,NA,NA,NA,0.39473684210526,0,NA,0,NA,NA,NA,0,0,0,0.05,NA,0,NA,NA,NA,0.31641285956007,NA,0.9072,NA,0,NA,NA,NA,0,NA,NA,NA,0,14.46,0,1021039,350.2,-116.8,NA,350.2,1.35
"3",2007-12-31,0,0.98,0.5204,NA,0,0,0,0,NA,NA,NA,0.44581091468102,0,NA,0,0,0,0,0,0,0,0.053,NA,0,1.6,9.31875,NA,0.67625899280575,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,14.91,0,620443,804.6,-1406.4,NA,804.6,1.45
"4",2006-12-31,0,1.36,0.3915,NA,0,0,0,0,NA,NA,NA,0.51085568326948,0,NA,0,0,0,0,0,0,0,0.053,NA,0,5.01,6.4890219560878,NA,0.46906363736627,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,32.51,0,510055,871.4,3.7,0,871.4,1.25
"5",2005-12-31,0,1.16,0.2809,NA,0,0,0,0,NA,NA,NA,0.5126379494482,0,NA,0,0,0,0,0,0,0,0.065,NA,0,4.44,13.081081081081,NA,0.19836767194187,NA,0.9316,0,0,NA,NA,0,0,NA,NA,NA,NA,58.08,0,91000,898.6,133.9,0,898.6,0.9
"6",2004-12-31,0,0.65,0.2931,NA,NA,0,0,0,NA,0,0,0.44353462981917,0,0,0,NA,NA,NA,0,0,NA,0.07,NA,0,5.73,7.2076788830715,0,0.20454545454546,NA,0.8299,0,0,NA,NA,0,0,NA,0,NA,0,41.3,0,262000,765.1,211.8,0,765.1,0.8
"7",2003-12-31,0,0.41,0.2827,NA,NA,0,0,0,NA,0,0,0.29006013441811,0,0,0,NA,NA,NA,0,0,0,0.082,NA,0,7.44,8.2997311827957,0,0.21890138012979,NA,0.7647,0,0,NA,NA,0,0,NA,0,NA,0,61.75,0,44000,331,247.9,0,331,0.7
"8",2002-12-31,0,0.31,0.1782,NA,NA,0,0,0,NA,NA,0,0.3864,0,NA,0,0,0,0,0,0,NA,0.0733,0,0,4.64,10.872844827586,0,0.36640863241848,NA,0.607,0,0,NA,NA,0,0,NA,0,0,0,50.45,0,145850,168.3,75.6,0,168.3,0.7
"9",2001-12-31,NA,0.49,0.2166,0,NA,0,0,0,NA,NA,0,0.3934,0,0.0884,0,NA,NA,NA,0,0,NA,0.065,NA,0,NA,NA,NA,0.15596330275229,0,0.549,0,0,NA,NA,0,0,NA,0,NA,0,28.06,0,35200,0,35.3,0,0,0.7
"10",2000-12-31,NA,0.75,0.2563,NA,NA,0,0,0,NA,NA,NA,0.6,0,NA,0,NA,NA,NA,0,0,NA,0.125,NA,0,NA,9.1849056603774,NA,0.21441228588305,NA,0.5313,0,0,NA,NA,0,0,NA,0,NA,NA,24.34,0,NA,NA,20.1,0,NA,NA
"11",1999-12-31,NA,0.95,0.331,NA,NA,0,0,0,0,NA,NA,0.43051359516616,0,0,0,0,0,0,0,158,NA,NA,0,158,NA,9.8571428571429,0,0.20248513594762,NA,0.6278,0,158,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,15.5,10.193548387097,0,NA
