"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Change in Non-Cash Working Capital","Correlation with the Market","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Enterprise Value","EV to Trailing Sales Ratio","Expected Growth in Earnings Per Share","Free Cash Flow to Firm","Firm Value","Forward Earnings Per Share","Forward PE Ratio","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Non-Cash Working Capital","Payout Ratio","Reinvestment Amount","Revenues","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta"
"1",2011-12-31,0,1.29,0.2331,NA,NA,NA,0,0,NA,NA,NA,0.8,0,NA,0,NA,NA,NA,0,0,0,0.0738,NA,0,2.23,21.24,NA,0.1449,NA,NA,NA,0,NA,NA,0,0,0,0,NA,0,47.37,0,650294,409,75.1,NA,409,1.2
"2",2008-12-31,0,1.61,0.4104,NA,NA,NA,0,0,NA,NA,NA,0.48732943469786,0,NA,0,NA,NA,NA,0,0,0,0.02,NA,0,2.72,11.275735294118,NA,0.40086118515481,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,30.67,0,918430,284.6,34.8,NA,284.6,1.25
"3",2007-12-31,0,1.47,0.3069,NA,0,0,0,0,NA,NA,NA,0.67774519387423,0,NA,0,0,0,0,0,0,0,0.9144,NA,0,NA,NA,NA,0.46467251160392,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,33.46,0,648230,275.2,36.2,0,275.2,1.3
"4",2006-12-31,0,1.54,0.2397,NA,0,0,0,0,NA,NA,NA,0.66750104297038,0,NA,0,0,0,0,0,0,0,0.0839,NA,0,3.15,15.539682539683,NA,0.26322426959994,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,48.95,0,637600,260.1,50,0,260.1,1
"5",2005-12-31,0,1.02,0.197,NA,0,0,0,0,NA,NA,NA,0.73096446700508,0,NA,0,0,0,0,0,0,0,0.1227,NA,0,3.46,22.543352601156,NA,0.15651874785002,NA,0.9886,0,0,NA,NA,0,0,NA,NA,NA,NA,78,0,130000,260.7,57.4,0,260.7,0.9
"6",2004-12-31,0,0.32,0.1854,NA,NA,0,0,0,NA,0,0,0.34519956850054,0,0,0,NA,NA,NA,0,0,NA,NA,NA,0,NA,NA,0,0.2537893509522,NA,0.9694,0,0,NA,NA,0,0,NA,0,NA,0,61.9,0,112500,236.4,15.4,0,236.4,0.8
"7",2003-12-31,0,0.38,0.1865,NA,NA,0,0,0,NA,NA,0,0.40750670241287,0,0,0,NA,NA,NA,0,0,NA,0.088,NA,0,NA,NA,0,0.18025164113786,NA,0.9257,0,0,NA,NA,0,0,NA,0,NA,0,41.93,0,163400,NA,0,NA,0,0.7
"8",2002-12-31,0,0.23,0.2221,NA,NA,0,0,0,NA,NA,0,0.2317,0,NA,0,0,0,0,0,0,NA,0.0429,0,0,NA,NA,0,0.2380073800738,NA,0.8741,0,0,NA,NA,0,0,NA,0,0,0,33.41,0,107097,207.3,39.5,0,207.3,0.7
"9",2001-12-31,NA,0.02,0.2604,0,NA,0,0,0,NA,NA,0,0.0161,0,0.0868,0,NA,NA,NA,0,0,NA,0.0374,NA,0,NA,NA,NA,0.19757575757576,0,0.8446,0,0,NA,NA,0,0,NA,0,NA,0,22.61,0,21400,0,35.4,0,204.9,0.7
"10",2000-12-31,NA,0.65,0.291,NA,NA,0,0,0,NA,NA,NA,0.6,0,NA,0,NA,NA,NA,0,0,NA,0.0913,NA,0,NA,8.441935483871,NA,0.12138728323699,NA,0.8335,0,0,NA,NA,0,0,NA,0,NA,NA,26.17,0,NA,NA,NA,NA,NA,NA
"11",1999-12-31,NA,0.7,0.2878,NA,NA,0,0,0,0,NA,NA,0.36483669214733,0,0,0,0,0,0,0,717.3,NA,0.0997,0,717.3,NA,8.8422818791946,0,0.20772946859903,NA,0.7726,0,717.3,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,0,NA
