"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Change in Non-Cash Working Capital","Correlation with the Market","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Enterprise Value","EV to Trailing Sales Ratio","Expected Growth in Earnings Per Share","Free Cash Flow to Firm","Firm Value","Forward Earnings Per Share","Forward PE Ratio","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Non-Cash Working Capital","Payout Ratio","Reinvestment Amount","Revenues","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta"
"1",2011-12-31,0,1.26,0.2241,NA,NA,NA,0,0,NA,NA,NA,0.8,0,NA,0,NA,NA,NA,0,0,0,0.0342,NA,0,2.51,18.77,NA,0.172,NA,NA,NA,0,NA,NA,0,0,0,0,NA,0,47.12,0,403403,502.5,54.3,NA,502.5,1.25
"2",2008-12-31,0,1.55,0.4826,NA,NA,NA,0,0,NA,NA,NA,0.43099875673436,0,NA,0,NA,NA,NA,0,0,0,0.035,NA,0,NA,NA,NA,0.38924097273397,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,35.06,0,2059940,497.6,61.4,NA,497.6,1.3
"3",2007-12-31,0,1.5,0.3266,NA,0,0,0,0,NA,NA,NA,0.61236987140233,0,NA,0,0,0,0,0,0,0,0.07,NA,0,4.03,11.588089330025,NA,0.55837035636639,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,46.7,0,1619159,485.6,147.8,0,485.6,1.25
"4",2006-12-31,0,1.54,0.2174,NA,0,0,0,0,NA,NA,NA,0.6623735050598,0,NA,0,0,0,0,0,0,0,0.0797,NA,0,4.18,14.045454545455,NA,0.20710135571336,NA,NA,0,0,NA,NA,0,0,NA,NA,NA,NA,58.71,0,1074400,420.3,201.6,0,420.3,0.9
"5",2005-12-31,0,1.43,0.2199,NA,0,0,0,0,NA,NA,NA,0.54570259208731,0,NA,0,0,0,0,0,0,0,0.0701,NA,0,3.86,20.251295336788,NA,0.17252304147465,NA,0.9378,0,0,NA,NA,0,0,NA,NA,NA,NA,78.17,0,176100,394,156.6,0,394,0.75
"6",2004-12-31,0,0.34,0.208,NA,NA,0,0,0,NA,0,0,0.32692307692308,0,0,0,NA,NA,NA,0,0,NA,0.068,NA,0,NA,NA,0,0.14716022500454,NA,0.9734,0,0,NA,NA,0,0,NA,0,NA,0,58.77,0,266800,391.9,125.5,0,391.9,0.7
"7",2003-12-31,0,0.11,0.1715,NA,NA,0,0,0,NA,0,0,0.12827988338192,0,0,0,NA,NA,NA,0,0,0,0.0619,NA,0,NA,NA,0,0.21962247089409,NA,0.9674,0,0,NA,NA,0,0,NA,0,NA,0,54.46,0,58100,377.9,114.5,0,377.9,0.65
"8",2002-12-31,0,0.03,0.1036,NA,NA,0,0,0,NA,NA,0,0.0574,0,NA,0,0,0,0,0,0,NA,0.0635,0,0,2.98,13.372483221477,0,0.1378332387975,NA,NA,0,0,NA,NA,0,0,NA,0,0,0,39.85,0,230988,380.2,90,0,380.2,0.65
"9",2001-12-31,NA,0.07,0.1365,0,NA,0,0,0,NA,NA,0,0.0885,0,0.0643,0,NA,NA,NA,0,0,NA,0.06,NA,0,NA,NA,NA,0.12959447799827,0,0.916,0,0,NA,NA,0,0,NA,0,NA,0,30.98,0,92700,0,115.4,0,0,0.7
"10",2000-12-31,NA,0.65,0.1798,NA,NA,0,0,0,NA,NA,NA,0.6,0,NA,0,NA,NA,NA,0,0,NA,0.0617,NA,0,NA,9.3924914675768,NA,0.097616910958221,NA,0.3009,0,0,NA,NA,0,0,NA,0,NA,NA,27.52,0,NA,NA,116,0,NA,NA
"11",1999-12-31,NA,0.7,0.184,NA,NA,0,0,0,0,NA,NA,0.57065217391304,0,0,0,0,0,0,0,1309.4,NA,0.085,0,1309.4,NA,8.4982332155477,0,0.13569001321503,NA,0.2476,0,1309.4,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,88.9,14.728908886389,0,NA
