"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Change in Non-Cash Working Capital","Correlation with the Market","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Enterprise Value","EV to Trailing Sales Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Free Cash Flow to Firm","Firm Value","Forward Earnings Per Share","Forward PE Ratio","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Revenues","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta"
"1",2011-12-31,0,1.32,0.2707,NA,NA,NA,0,0,NA,NA,NA,0.8,0,NA,0,NA,NA,NA,0,0,0,NA,0.072,NA,0,0.59,14.15,NA,0.1473,NA,0.7727,NA,0,NA,NA,0,NA,0,NA,NA,NA,0,NA,0,8.35,0,346304,182.7,-126.8,NA,182.7,1.2
"2",2008-12-31,0,1.71,0.5226,NA,NA,NA,0,0,NA,NA,NA,0.36739380022962,0,NA,0,NA,NA,NA,0,0,0,NA,NA,NA,0,NA,NA,NA,0.41353383458647,NA,0.7952,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,7.63,0,1064781,212,31.5,NA,212,1.2
"3",2007-12-31,0,1.77,0.3924,NA,0,0,0,0,NA,NA,NA,0.50968399592253,0,NA,0,0,0,0,0,0,0,NA,0.1102,NA,0,1.22,11.352459016393,NA,0.56871149209751,NA,0.7174,0,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,13.85,0,642585,206.2,29.4,0,206.2,1.25
"4",2006-12-31,0,1.58,0.2431,NA,0,0,0,0,NA,NA,NA,0.65816536404772,0,NA,0,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,NA,0.32477243172952,NA,0.6365,0,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,21.17,0,589134,150.1,154.4,0,150.1,1
"5",2005-12-31,0,0.49,0.2338,NA,0,0,0,0,NA,NA,NA,0.54747647562019,0,NA,0,0,0,0,0,0,0,NA,0.12,NA,0,1.35,26.125925925926,NA,0.16356542617047,NA,0.5393,0,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,35.27,0,129300,177.9,42.8,0,177.9,0.8
"6",2004-12-31,0,0.25,0.22,NA,NA,0,0,0,NA,0,0,0.22727272727273,0,0,0,NA,NA,NA,0,0,NA,NA,0.12,NA,0,NA,NA,0,0.13984348417829,NA,0.4924,0,0,NA,NA,0,NA,0,NA,NA,NA,0,NA,0,28.18,0,219200,136.7,200,0,136.7,0.75
"7",2003-12-31,0,0.27,0.2008,NA,NA,0,0,0,NA,0,0,0.26892430278884,0,0,0,NA,NA,NA,0,0,0,NA,0.0775,NA,0,NA,NA,0,0.19704284852142,NA,0.4618,0,0,NA,NA,0,NA,0,NA,NA,NA,0,NA,0,29.86,0,61600,169.2,70,0,169.2,0.7
"8",2002-12-31,0,0.26,0.1279,NA,NA,0,0,0,NA,NA,0,0.4507,0,NA,0,0,0,0,0,0,NA,NA,0.075,0,0,2.53,12.122529644269,0,0.14237668161435,NA,0.3892,0,0,NA,NA,0,NA,0,NA,NA,NA,0,0,0,30.67,0,100395,200.1,83.7,0,200.1,0.65
"9",2001-12-31,NA,0.06,0.1589,0,NA,0,0,0,NA,NA,0,0.0705,0,0.0637,0,NA,NA,NA,0,0,NA,NA,0.07,NA,0,NA,NA,NA,0.15347266202238,0,0.3836,0,0,NA,NA,0,NA,0,NA,NA,NA,0,NA,0,23.62,0,36700,0,46.9,0,188.9,0.7
"10",2000-12-31,NA,0.65,0.2024,NA,NA,0,0,0,NA,NA,NA,0.6,0,NA,0,NA,NA,NA,0,0,NA,NA,0.107,NA,0,NA,10.767543859649,NA,0.10470701248799,NA,0.4071,0,0,NA,NA,0,NA,0,NA,NA,NA,0,NA,NA,24.55,0,NA,NA,72.2,0,167.6,NA
"11",1999-12-31,NA,0.7,0.2007,NA,NA,0,0,0,0,NA,NA,0.52316890881913,0,0,0,0,0,0,0,1314.5,NA,11.799820466786,0.1354,0,1314.5,NA,12.357798165138,0,0.15874285714286,NA,0.4212,0,1314.5,0,0,NA,0.51885098743267,NA,0,0,11.799820466786,NA,NA,0,NA,NA,NA,NA,57.8,22.742214532872,111.4,NA
