"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Change in Non-Cash Working Capital","Correlation with the Market","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Enterprise Value","EV to Trailing Sales Ratio","Free Cash Flow to Firm","Firm Value","Forward Earnings Per Share","Forward PE Ratio","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Non-Cash Working Capital","Payout Ratio","Reinvestment Amount","Revenues","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta"
"1",2011-12-31,0,0.53,0.1565,NA,NA,NA,0,0,NA,NA,NA,0.8,0,NA,0,NA,NA,NA,0,0,0,NA,0,1.27,7.43,NA,0.1181,NA,0.4692,NA,0,NA,NA,0,0,0,0,NA,0,9.44,0,431393,106.5,68.9,NA,106.5,0.65
"2",2008-12-31,0,0.49,0.2206,NA,NA,NA,0,0,NA,NA,NA,0.43517679057117,0,NA,0,NA,NA,NA,0,0,0,NA,0,NA,NA,NA,0.19385796545106,NA,0.3575,NA,0,NA,NA,NA,0,NA,NA,NA,0,8.73,0,49230,37.4,14.9,NA,37.4,0.6
"3",2007-12-31,0,0.35,0.1777,NA,0,0,0,0,NA,NA,NA,0.58525604952167,0,NA,0,0,0,0,0,0,0,NA,0,NA,NA,NA,0.26615969581749,NA,0.2664,0,0,NA,NA,0,0,NA,NA,NA,NA,6.85,0,16134,28.2,14.2,0,28.2,0.65
"4",2006-12-31,0,0.27,0.1235,NA,0,0,0,0,NA,NA,NA,0.64777327935223,0,NA,0,0,0,0,0,0,0,NA,0,NA,NA,NA,0.11392405063291,NA,0.2762,0,0,NA,NA,0,0,NA,NA,NA,NA,8.8,0,2100,37.8,7.9,0,37.8,0.5
"5",2005-12-31,0,0.46,0.2106,NA,0,0,0,0,NA,NA,NA,0.45584045584046,0,NA,0,0,0,0,0,0,0,NA,0,NA,NA,NA,0.082369942196532,NA,0.2543,0,0,NA,NA,0,0,NA,NA,NA,NA,7.09,0,27600,74.4,3.6,0,74.4,0.6
"6",2004-12-31,0,0.06,0.2634,NA,NA,0,0,0,NA,0,0,0.045558086560365,0,0,0,NA,NA,NA,0,0,NA,NA,0,NA,NA,0,0.10433604336043,NA,0.1059,0,0,NA,NA,0,0,NA,0,NA,0,6.9,0,16100,122.2,22.8,0,122.2,0.55
"7",2003-12-31,0,-0.18,0.5054,NA,NA,0,0,0,NA,0,0,-0.071230708349822,0,0,0,NA,NA,NA,0,0,0,NA,0,NA,NA,0,0.16172106824926,NA,0.0646,0,0,NA,NA,0,0,NA,0,NA,0,7.72,0,1100,152.2,-31.4,NA,152.2,0.7
"8",2002-12-31,0,-0.11,0.7404,NA,NA,0,0,0,NA,NA,0,-0.033,0,NA,0,0,0,0,0,0,NA,0,0,NA,NA,0,0.18866080156403,NA,0.0459,0,0,NA,NA,0,0,NA,0,0,0,6.1,0,18561,170.9,-18.2,NA,170.9,0.65
"9",2001-12-31,NA,0.02,0.9173,0,NA,0,0,0,NA,NA,0,0.0036,0,0,0,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,0.33004926108374,0,0.0338,0,0,NA,NA,0,0,NA,0,NA,0,5.24,0,4200,0,0,NA,222.8,0.75
"10",2000-12-31,NA,0.75,0.9317,NA,NA,0,0,0,NA,NA,NA,0.24149404314694,0,NA,0,NA,NA,NA,0,0,NA,NA,0,NA,NA,NA,0.75675675675676,NA,0.0207,0,0,NA,NA,0,0,NA,0,NA,NA,2.1,0,NA,NA,-52,NA,NA,NA
"11",1999-12-31,NA,0.95,0.7457,NA,NA,0,0,0,0,NA,NA,0.19109561485852,0,0,0,0,0,0,0,11.4,NA,0,11.4,NA,NA,0,0.91991223258365,NA,0.1445,0,11.4,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,-33.1,NA,0,NA
