"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Cash as Percentage of Total Assets","Change in Non-Cash Working Capital","Correlation with the Market","Current PE Ratio","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Effective Tax Rate on Income","Enterprise Value","EV to Invested Capital Ratio","EV to Trailing Sales Ratio","EV to EBIT Ratio","EV to EBITDA Ratio","EV To Sales Ratio","Free Cash Flow to Firm","Firm Value","Ratio of Fixed Assets to Total Assets","Forward Earnings Per Share","Forward PE Ratio","Growth in Earnings Per Share","Previous Year Growth in Revenues","Hi-Lo Risk","Institutional Holdings","Ratio of Intangible Assets to Total Assets","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Price to Book Value Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Reinvestment Rate","Revenues","Return on Capital","Return on Equity","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta","EV to Book Value Ratio"
"1",2011-12-31,3,1.61,0.3522,0,18,37.7,0.3,15.2,0.0708,0.2382,0.4032,-0.14,0.8,14.92,0.3,0,0,23,14.42,23,0.3758,0.3739,199.6,71.29,3.08,8.64,8.53,3.13,14.56,214.8,0.0212,5.39,12.59,0.21,0.19,0.1497,0.4611,0,2.8,214.8,0,0,14.4,0.2257,-8.3,-0.1301,0,11.93,0.3621,3.37,-0.14,-0.0099,63.8,5.1495,0.8,5.6,67.86,0,7843,64.9,16.6,12.94,64.9,1.1,11.93
"2",2010-12-31,2.8,1.7,0.4705,0,7.5,28.6,0.1,5.8,0.026291931097008,0.10229276895944,0.2027972027972,-1.5139,0.55791710945802,17.790322580645,0.3,0,0,18.5,11.6596,18.8,0.36975,0.37055837563452,214.8,126.35294117647,3.3510140405616,11.610810810811,11.425531914894,3.7883597883598,13.3736,220.6,0.031468531468531,4.26,17.366197183099,0.58,0.2466,0.16960352422907,0.44,0,1.7,220.6,0,0,12.4,0.21869488536155,-11.6,-0.20458553791887,0,29.413333333333,0.32627865961199,3.8906525573192,-1.7139,-0.14699726454321,56.7,6.8586029411765,1.6533333333333,4.3,73.98,0,9169,64.1,14.3,15.426573426573,64.1,1.05,29.413333333333
"3",2009-12-31,2.7,1.73,0.5255,0,23,40.5,0.6,11.5,0.054605887939221,0.26376146788991,0.28395061728395,-1.7624,0.49952426260704,18.473684210526,0.3,0,0,12.1,7.8593,12.4,0.35047,0.34857142857143,199.1,17.313043478261,3.6265938069217,16.454545454545,16.056451612903,4.5665137614679,9.3217,210.6,0.02962962962963,3.96,18.267676767677,NA,-0.1532,0.26070095851321,0.3979,0,11.5,210.6,0,0,11.4,0.26146788990826,-6.8,-0.15596330275229,0,9.1565217391304,0.27752293577982,4.8302752293578,-1.4624,-0.1860703755024,43.6,0.68341852173913,0.49565217391304,3.9,72.34,0,8820,54.9,11.4,18.473684210526,54.9,1.05,9.1565217391304
"4",2008-12-31,2.4,1.47,0.4538,0,30.2,44.5,0.4,15.8,0.091594202898551,0.33617021276596,0.35505617977528,0.8102,0.37020713970912,52.272727272727,0.2,0,0,13.7,8.1248,13.9,0.40695,NA,156.7,10.881944444444,3.8980099502488,11.43795620438,11.273381294964,3.3340425531915,7.1146,172.5,0.017977528089888,NA,NA,NA,0.0435,0.43241090981485,0.3938,0,14.4,172.5,0,0,3.3,0.070212765957447,-5.6,-0.11914893617021,0,5.7119205298013,0.29148936170213,3.6702127659575,1.0102,0.12433716903985,47,0.56422118055556,0.10927152317881,3.4,64.23,0,11218,40.2,6.2,27.822580645161,40.2,1.05,5.7119205298013
"5",2007-12-31,2.2,1.48,0.397,0,39.3,53.3,0.3,11.8,0.078509647371923,0.28571428571429,0.22138836772983,0.9908,0.32241813602015,15.181818181818,0.1,0,0,14.1,9.3442,14.2,0.33729,NA,138.5,5.0363636363636,2.9157894736842,9.822695035461,9.7535211267606,3.3535108958838,8.1534,150.3,0.013133208255159,NA,NA,NA,0.0609,0.36752136752137,0.3349,0,27.5,150.3,0,0,9.9,0.23970944309927,-6.6,-0.15980629539952,0,3.824427480916,0.34140435835351,3.6392251815981,1.1908,0.12743708714165,41.3,0.33978949090909,0.25190839694657,3.3,66.45,0,12297,47.5,7.9,19.025316455696,47.5,0.8,3.824427480916
"6",2006-12-31,1.8,0.95,0.3684,0,20.5,37.2,0.5,28.9,0.18537524053881,0.90595611285266,0.77688172043011,3.2476,0.3257328990228,19.246913580247,0.1,0,0,9.7,6.3628,9.8,0.34404,NA,127,NA,2.7194860813704,13.092783505155,12.959183673469,3.9811912225705,2.7152,155.9,0.013440860215054,NA,NA,NA,2.3181,0.24514682561382,0.232,0,-8.4,155.9,0,0,8.1,0.25391849529781,-7,-0.21943573667712,0,7.6048780487805,0.30407523510972,4.8871473354232,3.6476,0.57327623428467,31.9,NA,0.39512195121951,4,74.4899,0,8038,46.7,11,14.172727272727,46.7,0.75,NA
"7",2005-12-31,1.8,1.79,0.4532,0,10.9,12.7,0,8.4,0.054368932038835,0.91304347826087,0.66141732283465,-0.6391,0.24713150926743,41.756756756757,0,0,0,1.4,1.4,1.4,0,NA,146.1,58.44,7.6894736842105,104.35714285714,104.35714285714,15.880434782609,2.0391,154.5,0.0078740157480315,NA,NA,NA,2.4182,0.49576899589985,0.079,0,2.5,154.5,0,0,3.7,0.40217391304348,0.6,0.065217391304348,0,14.174311926605,0.15217391304348,16.79347826087,-0.6391,-0.45652173913043,9.2,0.56,0.3394495412844,NA,83.73,0,23296,19,6.8,22.720588235294,19,0.7,14.174311926605
"8",2004-12-31,1.6,-0.31,0.6041,0,NA,4,0,2.2,0.04029304029304,0.32835820895522,0.55,2.016,-0.10263201456712,NA,0,0,0,-0.634,-0.634,-0.634,0,NA,52.4,37.428571428571,7.8208955223881,NA,NA,20.96,-2.65,54.6,0.025,NA,NA,NA,1.0079,0.45865533230294,0.0862,0,1.4,54.6,0,0,-0.2,-0.08,1.2,0.48,NA,15.166666666667,-0.2536,21.84,2.016,-3.179810725552,2.5,-0.45285714285714,-0.055555555555556,0,31.3,0,2680,6.7,1,54.6,6.7,0.7,15.166666666667
"9",2003-12-31,1.5,0,0,0,NA,3.3,0,2.8,0.10687022900763,2.3333333333333,NA,0,NA,NA,0,0,0,-1.4005,-1.4005,-1.4005,0,NA,23.4,58.5,19.5,NA,NA,19.5,-1.4005,26.2,0.03030303030303,NA,NA,NA,0.0493,0.48936170212766,0.0279,0,0.4,26.2,0,0,-1,-0.83333333333333,0.1,0.083333333333333,NA,8.1875,-1.1671,21.833333333333,0,0,1.2,-3.5013,-0.3125,0,17,0,1113,1.2,-0.6,NA,1.2,0.7,8.1875
"10",2002-12-31,1.4,0,0,0,NA,3.9,0.1,3.5,0.35353535353535,3.5,NA,-0.4,0,NA,0.1,0,0,-2.3424,-2.3424,-2.2424,0,NA,6.4,NA,NA,NA,NA,6.4,-2.3424,9.9,0.051282051282051,NA,NA,NA,-0.2088,NA,NA,0,0.1,9.9,0,0,-2.5,-2.5,-0.2,-0.2,NA,2.75,-2.3424,9.9,0,NA,1,-23.424,-0.69444444444444,0,6.51,0,1525,1,-2.3,NA,1,NA,64
