"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Change in Non-Cash Working Capital","Correlation with the Market","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Enterprise Value","EV to Trailing Sales Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Free Cash Flow to Firm","Firm Value","Forward Earnings Per Share","Forward PE Ratio","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Revenues","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta"
"1",2011-12-31,0,0.69,0.2223,NA,NA,NA,0,0,NA,NA,NA,0.78,0,NA,0,NA,NA,NA,0,0,0,NA,0.1157,NA,0,1.26,12.79,NA,0.103,NA,0.9287,NA,0,NA,NA,0,NA,0,NA,NA,NA,0,NA,0,16.12,0,327526,173.8,-1.6,NA,173.8,0.95
"2",2008-12-31,0,1.36,0.5178,NA,NA,NA,0,0,NA,NA,NA,0.30899961375048,0,NA,0,NA,NA,NA,0,0,0,NA,NA,NA,0,1.19,9.4705882352941,NA,0.40676923076923,NA,0.5152,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,11.27,0,120639,132.6,-6.4,NA,132.6,1
"3",2007-12-31,0,1.35,0.4365,NA,0,0,0,0,NA,NA,NA,0.42153493699886,0,NA,0,0,0,0,0,0,0,NA,0.11,NA,0,1.19,7.672268907563,NA,0.50617283950617,NA,0.6676,0,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,9.13,0,102107,140.4,-11.4,NA,140.4,1.15
"4",2006-12-31,0,0.92,0.2722,NA,0,0,0,0,NA,NA,NA,0.49963262307127,0,NA,0,0,0,0,0,0,0,NA,0.1,NA,0,0.98,8.9795918367347,NA,0.29192073170732,NA,0.5851,0,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,8.8,0,127000,151.5,6.8,0,151.5,0.85
"5",2005-12-31,0,0.27,0.2167,NA,0,0,0,0,NA,NA,NA,0.36917397323489,0,NA,0,0,0,0,0,0,0,NA,NA,NA,0,NA,NA,NA,0.2992125984252,NA,0.4325,0,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,13.74,0,33800,153.6,-14.2,NA,153.6,0.5
"6",2004-12-31,0,-0.08,0.2609,NA,NA,0,0,0,NA,0,0,-0.061326178612495,0,0,0,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,NA,0,0.092168353755994,NA,0.4353,0,0,NA,NA,0,NA,0,NA,NA,NA,0,NA,0,9.04,0,41100,156.6,-7.9,NA,156.6,0.5
"7",2003-12-31,0,0.07,0.2805,NA,NA,0,0,0,NA,0,0,0.049910873440285,0,0,0,NA,NA,NA,0,0,0,NA,NA,NA,0,NA,NA,0,0.22093023255814,NA,0.3065,0,0,NA,NA,0,NA,0,NA,NA,NA,0,NA,0,10.03,0,24800,160.7,3.1,0,160.7,0.45
"8",2002-12-31,0,0.22,0.3006,NA,NA,0,0,0,NA,NA,0,0.1581,0,NA,0,0,0,0,0,0,NA,NA,0.02,0,0,NA,NA,0,0.19587628865979,NA,0.1948,0,0,NA,NA,0,NA,0,NA,NA,NA,0,0,0,7.41,0,44228,0,-14.6,NA,0,0.4
"9",2001-12-31,NA,-0.1,0.3309,0,NA,0,0,0,NA,NA,0,-0.0545,0,0.1046,0,NA,NA,NA,0,0,NA,NA,0.023,NA,0,NA,NA,NA,0.35168961201502,0,0.191,0,0,NA,NA,0,NA,0,NA,NA,NA,0,NA,0,6.41,0,16400,0,8.1,0,160.6,0.4
"10",2000-12-31,NA,0.45,0.3079,NA,NA,0,0,0,NA,NA,NA,0.43845404352062,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,NA,0,NA,7.0977443609023,NA,0.19843487982113,NA,0.199,0,0,NA,NA,0,NA,0,NA,NA,NA,0,NA,NA,9.44,0,NA,NA,12.2,0,158.9,NA
"11",1999-12-31,NA,0.45,0.32,NA,NA,0,0,0,0,NA,NA,0.2109375,0,0,0,0,0,0,0,165.6,NA,1.0337078651685,NA,0,165.6,NA,4.6111111111111,0,0.20002509725185,NA,0.1346,0,165.6,0,0,NA,0.074906367041199,NA,0,0,1.0337078651685,NA,NA,0,NA,NA,NA,NA,12,13.8,160.2,NA
