"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Change in Non-Cash Working Capital","Correlation with the Market","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Enterprise Value","EV to Trailing Sales Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Free Cash Flow to Firm","Firm Value","Forward Earnings Per Share","Forward PE Ratio","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Revenues","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta"
"1",2011-12-31,0,1.77,0.3471,NA,NA,NA,0,0,NA,NA,NA,0.8,0,NA,0,NA,NA,NA,0,0,0,NA,0.06,NA,0,2.05,12.39,NA,0.154,NA,NA,NA,0,NA,NA,0,NA,0,NA,0,NA,NA,0,NA,0,25.39,0,913353,830.4,58.6,NA,830.4,1.75
"2",2008-12-31,0,3.15,0.8257,NA,NA,NA,0,0,NA,NA,NA,0.33910621291026,0,NA,0,NA,NA,NA,0,0,0,NA,-0.131,NA,0,1.64,12.945121951219,NA,0.72913505311077,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,21.23,0,1263745,622.2,12.3,NA,622.2,1.75
"3",2007-12-31,0,2.19,0.4174,NA,0,0,0,0,NA,NA,NA,0.57498802108289,0,NA,0,0,0,0,0,0,0,NA,0.0817,NA,0,2.91,3.7972508591065,NA,0.6812015503876,NA,NA,0,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,11.05,0,1264934,690.1,66,0,690.1,1.5
"4",2006-12-31,0,1.01,0.1893,NA,0,0,0,0,NA,NA,NA,0.8,0,NA,0,0,0,0,0,0,0,NA,0.1631,NA,0,3.13,9.6709265175719,NA,0.21208429772201,NA,NA,0,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,30.27,0,925932,656.7,59.3,0,656.7,1
"5",2005-12-31,0,0.22,0.1934,NA,0,0,0,0,NA,NA,NA,0.78593588417787,0,NA,0,0,0,0,0,0,0,NA,0.1408,NA,0,2.8,16.375,NA,0.15143572024306,NA,0.9986,0,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,45.85,0,351700,578.8,94.3,0,578.8,0.95
"6",2004-12-31,0,0.37,0.2053,NA,NA,0,0,0,NA,0,0,0.36044812469557,0,0,0,NA,NA,NA,0,0,NA,NA,0.1163,NA,0,NA,NA,0,0.15539079394501,NA,0.9077,0,0,NA,NA,0,NA,0,NA,NA,NA,NA,0,NA,0,36.68,0,177300,304.4,19.6,0,304.4,1.05
"7",2003-12-31,0,0.4,0.2698,NA,NA,0,0,0,NA,NA,0,0.29651593773165,0,0,0,NA,NA,NA,0,0,NA,NA,0.101,NA,0,NA,NA,0,0.30049455984174,NA,0.9142,0,0,NA,NA,0,NA,0,NA,NA,NA,NA,0,NA,0,30.96,0,42400,NA,0,NA,0,0.95
"8",2002-12-31,0,0.95,0.4184,NA,NA,0,0,0,NA,NA,0,0.5011,0,NA,0,0,0,0,0,0,NA,NA,0.08,0,0,1.32,14.356060606061,0,0.28982076428813,NA,0.7338,0,0,NA,NA,0,NA,0,NA,NA,NA,NA,0,0,0,18.95,0,68200,194,-0.3,NA,194,0.9
"9",2001-12-31,NA,0.65,0.4219,0,NA,0,0,0,NA,NA,0,0.2696,0,0.06,0,NA,NA,NA,0,0,NA,NA,0.065,NA,0,NA,NA,NA,0.21684521610639,0,0.7487,0,0,NA,NA,0,NA,0,NA,NA,NA,NA,0,NA,0,13.03,0,20000,0,3.5,0,170.3,0.95
"10",2000-12-31,NA,0.95,0.4281,NA,NA,0,0,0,NA,NA,NA,0.66573230553609,0,NA,0,NA,NA,NA,0,0,NA,NA,0.05,NA,0,NA,6.431693989071,NA,0.44636400160707,NA,0.582,0,0,NA,NA,0,NA,0,NA,NA,NA,NA,0,NA,NA,11.77,0,NA,NA,9.8,0,148.7,NA
"11",1999-12-31,NA,0.8,NA,NA,NA,0,0,0,0,NA,NA,NA,0,0,0,0,0,0,0,271.7,NA,3.238379022646,0.056,0,271.7,NA,6.3018867924528,0,0.18536960421777,NA,0.415,0,271.7,0,0,NA,0.17163289630512,NA,0,NA,0,3.238379022646,NA,NA,0,NA,NA,NA,NA,14.4,18.868055555556,83.9,NA
