"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Change in Non-Cash Working Capital","Correlation with the Market","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Enterprise Value","EV to Trailing Sales Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Free Cash Flow to Firm","Firm Value","Forward Earnings Per Share","Forward PE Ratio","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Revenues","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta"
"1",2011-12-31,0,3.22,0.6853,NA,NA,NA,0,0,NA,NA,NA,0.8,0,NA,0,NA,NA,NA,0,0,0,NA,NA,NA,0,NA,NA,NA,0.3293,0.031,0.7159,NA,0,NA,NA,0,NA,0,NA,NA,NA,0,NA,0,4.67,0,681688,947.3,-103.1,NA,947.3,2.2
"2",2008-12-31,0,3.67,0.9713,NA,NA,NA,0,0,NA,NA,NA,0.35416452177494,0,NA,0,NA,NA,NA,0,0,0,NA,NA,NA,0,NA,NA,NA,0.76119402985075,0.035,0.5565,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,3.6,0,816421,961.1,-171.8,NA,961.1,2.15
"3",2007-12-31,0,2.71,0.5139,NA,0,0,0,0,NA,NA,NA,0.56042031523643,0,NA,0,0,0,0,0,0,0,NA,NA,NA,0,0.03,61.333333333333,NA,0.92621576299609,0.04,0.7925,0,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,1.84,0,1424286,1105.1,40.8,0,1105.1,1.8
"4",2006-12-31,0,1.64,0.2572,NA,0,0,0,0,NA,NA,NA,0.74650077760498,0,NA,0,0,0,0,0,0,0,NA,0.05,NA,0,2.2,6.3181818181818,NA,0.30300353356891,NA,NA,0,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,13.9,0,1445100,1004.7,53.5,0,1004.7,1.2
"5",2005-12-31,0,1.89,0.2343,NA,0,0,0,0,NA,NA,NA,0.75117370892019,0,NA,0,0,0,0,0,0,0,NA,0.05,NA,0,1.95,11.2,NA,0.15529826327712,NA,0.973,0,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,21.84,0,207200,1205.2,-218.3,NA,1205.2,1.1
"6",2004-12-31,0,1.23,0.3602,NA,NA,0,0,0,NA,0,0,0.68295391449195,0,0,0,NA,NA,NA,0,0,NA,NA,0.06,NA,0,NA,NA,0,0.19782090568607,NA,0.7274,0,0,NA,NA,0,NA,0,NA,NA,NA,0,NA,0,17.2,0,333600,1202.3,-66,NA,1202.3,1.1
"7",2003-12-31,0,1.07,0.367,NA,NA,0,0,0,NA,0,0,0.58310626702997,0,0,0,NA,NA,NA,0,0,0,NA,0.0717,NA,0,NA,NA,0,0.21194525093322,NA,0.7182,0,0,NA,NA,0,NA,0,NA,NA,NA,0,NA,0,14.39,0,116600,1241.7,-67.2,NA,1241.7,1
"8",2002-12-31,0,1.09,0.4175,NA,NA,0,0,0,NA,NA,0,0.5744,0,NA,0,0,0,0,0,0,NA,NA,0.0744,0,0,0.62,18.112903225807,0,0.35876174682145,NA,0.6208,0,0,NA,NA,0,NA,0,NA,NA,NA,0,0,0,11.23,0,263816,1257.2,NA,NA,1257.2,0.95
"9",2001-12-31,NA,0.67,0.3283,0,NA,0,0,0,NA,NA,0,0.3572,0,0.0515,0,NA,NA,NA,0,0,NA,NA,0.1014,NA,0,1.77,6.1977401129944,NA,0.36986301369863,0,0.5611,0,0,NA,NA,0,NA,0,NA,NA,NA,0,NA,0,10.97,0,81400,0,-33.1,NA,1311,1
"10",2000-12-31,NA,0.95,0.2896,NA,NA,0,0,0,NA,NA,NA,0.6,0,NA,0,NA,NA,NA,0,0,NA,NA,0.0631,NA,0,NA,7.0127118644068,NA,0.35396308360478,NA,0.454,0,0,NA,NA,0,NA,0,NA,NA,NA,0,NA,NA,16.55,0,NA,NA,30.4,0,1051.8,NA
"11",1999-12-31,NA,0.85,0.2702,NA,NA,0,0,0,0,NA,NA,0.47187268689859,0,0,0,0,0,0,0,1223.1,NA,2.3372826294668,0.0619,0,1223.1,NA,5.4130925507901,0,0.19512195121951,NA,0.3408,0,1223.1,0,0,NA,0.14542327536786,NA,0,0,2.3372826294668,NA,NA,0,NA,NA,NA,NA,76.1,16.072273324573,523.3,NA
