"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Change in Non-Cash Working Capital","Correlation with the Market","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Enterprise Value","EV to Trailing Sales Ratio","EV To Sales Ratio","Free Cash Flow to Firm","Firm Value","Forward Earnings Per Share","Forward PE Ratio","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Revenues","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta"
"1",2011-12-31,0,0.86,0.2269,NA,NA,NA,0,0,NA,NA,NA,0.8,0,NA,0,NA,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,0.1087,0.034,0.9254,NA,0,NA,NA,0,NA,0,NA,NA,NA,0,NA,0,23.78,0,1729650,24185,-76.7,NA,24185,1.05
"2",2008-12-31,0,1.38,0.437,NA,NA,NA,0,0,NA,NA,NA,0.40274599542334,0,NA,0,NA,NA,NA,0,0,0,NA,NA,0,NA,NA,NA,0.43893288870363,0.049,0.8491,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,16.44,0,3655890,19438.9,-86,NA,19438.9,1.1
"3",2007-12-31,0,0.96,0.3143,NA,0,0,0,0,NA,NA,NA,0.50906776964683,0,NA,0,0,0,0,0,0,0,NA,NA,0,-0.36,NA,NA,NA,0.0409,0.7613,0,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,13.79,0,3221446,19582.3,45.2,0,19582.3,1
"4",2006-12-31,0,1.4,0.2121,NA,0,0,0,0,NA,NA,NA,0.71664309288072,0,NA,0,0,0,0,0,0,0,NA,NA,0,-0.2,NA,NA,0.2721507181496,0.0409,0.8512,0,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,19.34,0,2263894,18283.6,-27.6,NA,18283.6,0.95
"5",2005-12-31,0,1.26,0.1939,NA,0,0,0,0,NA,NA,NA,0.70139247034554,0,NA,0,0,0,0,0,0,0,NA,NA,0,-0.05,NA,NA,0.18879887284255,0.044,0.783,0,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,31.79,0,525800,18342.9,NA,NA,18342.9,0.85
"6",2004-12-31,106.6,0.36,0.1915,NA,NA,0,0,0,0,NA,0,0.37597911227154,0,0.051172707889126,127.92,NA,NA,NA,0,2507.5,NA,NA,NA,2507.5,0.06,390.83333333333,0,0.11650902837489,0.049,0.7136,0,2507.5,0,0,0,NA,0,NA,NA,NA,0,NA,0,23.45,0,767900,NA,0,NA,0,0.7
"7",2003-12-31,106.6,0.16,0.1775,NA,NA,0,0,0,0,0,0,0.18028169014084,0,0.047914085088806,123.656,NA,NA,NA,0,2600.2,0.18422842567663,NA,NA,2600.2,0.17,142.41176470588,0,0.17570498915401,0.064,0.5984,0,2600.2,0,0,0,NA,0,NA,NA,NA,0,NA,0,24.21,0,203800,14114,0,NA,14114,0.6
"8",2002-12-31,106.6,-0.02,0.1647,NA,NA,0,0,0,0,NA,0,-0.0254,0,0.059430751173709,121.524,0,0,0,0,2044.8,NA,NA,0,2044.8,0.21,91.52380952381,0,0.12619116373087,NA,0.5721,0,2044.8,0,0,0,NA,0,NA,NA,NA,0,0,0,19.22,0,374458,13247,NA,NA,13247,0.6
"9",2001-12-31,NA,-0.02,0.181,0,NA,0,0,0,NA,NA,0,-0.0155,0,0.07,0,NA,NA,NA,0,0,NA,NA,NA,0,0.3,51.333333333333,NA,0.12104034678226,0,0.5049,0,0,NA,NA,0,NA,0,NA,NA,NA,0,NA,0,15.4,0,470200,0,0,NA,0,0.6
"10",2000-12-31,NA,0.5,0.1705,NA,NA,0,0,0,NA,NA,NA,0.6,0,NA,0,NA,NA,NA,0,0,NA,NA,NA,0,NA,72.65,NA,0.18326693227092,NA,0.3415,0,0,NA,NA,0,NA,0,NA,NA,NA,0,NA,NA,14.53,0,NA,NA,NA,NA,13724,NA
"11",1999-12-31,NA,0.6,0.1731,NA,NA,0,0,0,0,NA,NA,0.51993067590988,0,0,0,0,0,0,0,1128.6,NA,0.076822544414948,0,1128.6,NA,NA,0,0.11242603550296,NA,0.2645,0,1128.6,0,0,NA,0.0048396977741474,NA,0,0,0.076822544414948,NA,NA,0,NA,NA,NA,NA,71.1,15.873417721519,14691,NA
