"","Date","Number of Shares Outstanding","3-Year Regression Beta","3-year Standard Deviation of Stock Price","Book Debt to Capital Ratio","Book Value of Equity","Book Value of Assets","Capital Expenditures","Cash","Cash as Percentage of Firm Value","Cash as Percentage of Revenues","Change in Non-Cash Working Capital","Correlation with the Market","Depreciation","Dividend Yield","Dividends","Earnings Before Interest and Taxes","EBIT for Previous Period","Earnings Before Interest Taxes Depreciation and Amortization","Effective Tax Rate","Enterprise Value","EV to Trailing Sales Ratio","EV To Sales Ratio","Expected Growth in Earnings Per Share","Free Cash Flow to Firm","Firm Value","Forward Earnings Per Share","Forward PE Ratio","Previous Year Growth in Revenues","Hi-Lo Risk","Insider Holdings","Institutional Holdings","Invested Capital","Market Capitalization","Market Debt to Equity Ratio","Market Debt to Capital Ratio","Net Income","Net Margin","Non-Cash Working Capital","Non-Cash Working Capital as Percentage of Revenues","Payout Ratio","Pre-Tax Operating Margin","Price to Sales Ratio","Reinvestment Amount","Revenues","Sales General and Administration Expenses","Stock Price","Total Debt","Trading Volume","Trailing 12-month Revenues","Trailing Net Income","Trailing PE Ratio","Trailing Revenues","Value Line Beta"
"1",2011-12-31,0,0.95,0.1894,NA,NA,NA,0,0,NA,NA,NA,0.8,0,NA,0,NA,NA,NA,0,0,0,NA,0.0599,NA,0,3.08,17.47,NA,0.1323,NA,0.8523,NA,0,NA,NA,0,NA,0,NA,0,NA,NA,0,NA,0,53.81,0,210373,184.6,24.8,NA,184.6,1
"2",2008-12-31,0,1.19,0.3331,NA,NA,NA,0,0,NA,NA,NA,0.48033623536476,0,NA,0,NA,NA,NA,0,0,0,NA,0.0574,NA,0,3.14,12.191082802548,NA,0.35075830913198,NA,0.8712,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,0,38.28,0,292884,173.2,29.5,NA,173.2,1
"3",2007-12-31,0,0.95,0.2623,NA,0,0,0,0,NA,NA,NA,0.64048799085017,0,NA,0,0,0,0,0,0,0,NA,0.0833,NA,0,3.28,10.84756097561,NA,0.3921221207578,NA,0.8383,0,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,35.58,0,368615,163.2,32.3,0,163.2,1.05
"4",2006-12-31,0,1.09,0.1595,NA,0,0,0,0,NA,NA,NA,0.8,0,NA,0,0,0,0,0,0,0,NA,0.0658,NA,0,3.1,13.061290322581,NA,0.22381711855396,NA,0.8183,0,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,40.49,0,515700,145.4,26.8,0,145.4,0.85
"5",2005-12-31,0,1.38,0.1909,NA,0,0,0,0,NA,NA,NA,0.62860136196962,0,NA,0,0,0,0,0,0,0,NA,0.0942,NA,0,2.82,18.992907801418,NA,0.14095315024233,NA,0.7754,0,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,53.56,0,70400,133.2,20.6,0,133.2,0.75
"6",2004-12-31,0,0.4,0.1814,NA,NA,0,0,0,NA,0,0,0.44101433296582,0,0,0,NA,NA,NA,0,0,NA,NA,0.0583,NA,0,NA,NA,0,0.13749242883101,NA,0.7025,0,0,NA,NA,0,NA,0,NA,NA,NA,NA,0,NA,0,45.2,0,78000,121.2,21.7,0,121.2,0.6
"7",2003-12-31,0,0.29,0.1768,NA,NA,0,0,0,NA,NA,0,0.32805429864253,0,0,0,NA,NA,NA,0,0,NA,NA,0.05,NA,0,2.49,15.152610441767,0,0.15924528301887,NA,0.6179,0,0,NA,NA,0,NA,0,NA,NA,NA,NA,0,NA,0,37.73,0,19300,NA,0,NA,0,0.6
"8",2002-12-31,0,0.08,0.1665,NA,NA,0,0,0,NA,NA,0,0.1044,0,NA,0,0,0,0,0,0,NA,NA,0.0467,0,0,2.36,13.75,0,0.16080937167199,NA,0.433,0,0,NA,NA,0,NA,0,NA,NA,NA,NA,0,0,0,32.45,0,60596,108.1,19.1,0,108.1,0.6
"9",2001-12-31,NA,0.08,0.1929,0,NA,0,0,0,NA,NA,0,0.0753,0,0.0753,0,NA,NA,NA,0,0,NA,NA,0.0488,NA,0,2.53,9.6561264822134,NA,0.090534979423868,0,0.4134,0,0,NA,NA,0,NA,0,NA,NA,NA,NA,0,NA,0,24.43,0,8000,0,25.8,0,104.7,0.7
"10",2000-12-31,NA,0.7,0.223,NA,NA,0,0,0,NA,NA,NA,0.6,0,NA,0,NA,NA,NA,0,0,NA,NA,0.0483,NA,0,NA,8.4962962962963,NA,0.096045197740113,NA,0.4022,0,0,NA,NA,0,NA,0,NA,NA,NA,NA,0,NA,NA,22.94,0,NA,NA,40.3,0,103.7,NA
"11",1999-12-31,NA,0.75,0.2245,NA,NA,0,0,0,0,NA,NA,0.5011135857461,0,0,0,0,0,0,0,357.2,NA,3.8,0.1017,0,357.2,NA,8.5,0,0.13776429316393,NA,0.4426,0,357.2,0,0,NA,0.29042553191489,NA,0,NA,0,3.8,NA,NA,0,NA,NA,NA,NA,27.3,13.084249084249,94,NA
